video_id,url,title,views,likes,comments,shares,reposts,duration,uploaded,theme
sample0000,https://www.tiktok.com/@example_creator/video/sample0000,Stop doing this with your framing,2388,154,15,8,0,68,2025-05-30T21:37:00,Understood / Properly / Jargon
sample0001,https://www.tiktok.com/@example_creator/video/sample0001,Day 100 of building this in public,5327,531,54,11,0,9,2025-06-01T17:41:00,Public / Building / Smallbusiness
sample0002,https://www.tiktok.com/@example_creator/video/sample0002,Answering your questions about workflow #behindthescenes,1939,133,9,2,0,14,2025-06-03T13:28:00,Questions / Answering / Workflow
sample0003,https://www.tiktok.com/@example_creator/video/sample0003,Grab this before it goes,4054,304,17,26,0,14,2025-06-06T18:59:00,No caption
sample0004,https://www.tiktok.com/@example_creator/video/sample0004,"framing explained properly, no jargon #smallbusiness",8183,1050,48,19,0,23,2025-06-08T17:04:00,Understood / Properly / Jargon
sample0005,https://www.tiktok.com/@example_creator/video/sample0005,My honest numbers after 60 weeks #smallbusiness,3049,212,9,6,0,52,2025-06-10T08:26:00,Numbers / Honest / Smallbusiness
sample0006,https://www.tiktok.com/@example_creator/video/sample0006,Answering your questions about pricing,3272,264,19,64,0,9,2025-06-13T11:46:00,Questions / Answering / Workflow
sample0007,https://www.tiktok.com/@example_creator/video/sample0007,"Limited spots left, DM me #creator",260,26,0,5,0,23,2025-06-15T11:11:00,Spots / Limited / Left
sample0008,https://www.tiktok.com/@example_creator/video/sample0008,Stop doing this with your setup,1941,111,15,10,0,95,2025-06-18T13:53:00,Understood / Properly / Jargon
sample0009,https://www.tiktok.com/@example_creator/video/sample0009,My honest numbers after 60 weeks,1903,227,7,7,0,23,2025-06-20T11:37:00,Numbers / Honest / Smallbusiness
sample0010,https://www.tiktok.com/@example_creator/video/sample0010,Replying to a comment about pricing #tutorial,2182,127,5,42,0,23,2025-06-22T11:43:00,Replying / Pricing / Clients
sample0011,https://www.tiktok.com/@example_creator/video/sample0011,Grab this before it goes,526,56,1,2,0,68,2025-06-25T18:31:00,No caption
sample0012,https://www.tiktok.com/@example_creator/video/sample0012,"setup explained properly, no jargon #howto",930,65,2,5,0,68,2025-06-27T19:01:00,Understood / Properly / Jargon
sample0013,https://www.tiktok.com/@example_creator/video/sample0013,What 7 months of this actually looked like #behindthescenes,4139,520,32,76,0,52,2025-06-30T13:42:00,Looked / Howto
sample0014,https://www.tiktok.com/@example_creator/video/sample0014,"You asked, so here it is: gear #creator",2783,361,7,31,0,9,2025-07-02T17:04:00,Asked / Gear / Clients
sample0015,https://www.tiktok.com/@example_creator/video/sample0015,Last chance on this one #behindthescenes,194,9,1,1,0,9,2025-07-04T08:55:00,Chance / Howto
sample0016,https://www.tiktok.com/@example_creator/video/sample0016,"setup explained properly, no jargon #creator",2278,284,20,22,0,52,2025-07-07T13:56:00,Understood / Properly / Jargon
sample0017,https://www.tiktok.com/@example_creator/video/sample0017,Day 100 of building this in public,2732,186,24,28,0,95,2025-07-09T08:19:00,Public / Building / Smallbusiness
sample0018,https://www.tiktok.com/@example_creator/video/sample0018,Replying to a comment about clients,449,41,4,3,0,52,2025-07-12T13:19:00,Replying / Pricing / Clients
sample0019,https://www.tiktok.com/@example_creator/video/sample0019,Grab this before it goes #smallbusiness,461,56,4,3,0,95,2025-07-14T11:40:00,Grab / Smallbusiness / Creator
sample0020,https://www.tiktok.com/@example_creator/video/sample0020,How I finally understood lighting #smallbusiness,16073,2025,76,67,0,52,2025-07-16T21:57:00,Understood / Properly / Jargon
sample0021,https://www.tiktok.com/@example_creator/video/sample0021,Before and after 60 days,1454,150,13,24,0,95,2025-07-19T21:26:00,No caption
sample0022,https://www.tiktok.com/@example_creator/video/sample0022,"You asked, so here it is: gear",2826,204,15,37,0,95,2025-07-21T13:55:00,Asked / Gear / Clients
sample0023,https://www.tiktok.com/@example_creator/video/sample0023,"New drop out now, link in bio",1337,150,13,26,0,14,2025-07-23T11:01:00,Out / Drop / Tutorial
sample0024,https://www.tiktok.com/@example_creator/video/sample0024,Stop doing this with your editing,1211,77,2,12,0,9,2025-07-26T21:23:00,Understood / Properly / Jargon
sample0025,https://www.tiktok.com/@example_creator/video/sample0025,What 30 months of this actually looked like #smallbusiness,7736,1003,27,132,0,23,2025-07-28T18:44:00,Looked / Howto
sample0026,https://www.tiktok.com/@example_creator/video/sample0026,Answering your questions about software #behindthescenes,2163,195,22,16,0,34,2025-07-31T11:40:00,Questions / Answering / Workflow
sample0027,https://www.tiktok.com/@example_creator/video/sample0027,Last chance on this one,1644,110,18,32,0,27,2025-08-02T21:51:00,No caption
sample0028,https://www.tiktok.com/@example_creator/video/sample0028,"audio explained properly, no jargon",2217,189,16,34,0,52,2025-08-04T21:01:00,Understood / Properly / Jargon
